date,ndt_server,upload_throughput,download_throughput
2015-04-11T21:17:25-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.69,65.17
2015-04-11T21:17:49-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.57,47.48
2015-04-12T03:18:16-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.59,28.38
2015-04-12T03:18:39-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.64,57.86
2015-04-12T03:19:03-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.64,58.92
2015-04-12T03:19:26-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.61,26.23
2015-04-12T03:19:50-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.56,33.78
2015-04-12T13:20:18-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.51,56.17
2015-04-12T13:20:42-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.48,49.27
2015-04-12T13:21:06-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,7.8,48.36
2015-04-12T13:21:30-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.34,32.13
2015-04-12T13:21:54-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.47,59.09
2015-04-12T22:22:19-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.54,41.46
2015-04-12T22:22:44-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,9.76,1.38
2015-04-12T22:23:07-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.55,69.18
2015-04-12T22:23:32-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,2.97,16.87
2015-04-12T22:23:55-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.48,52.97
2015-04-13T07:24:21-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.69,56.39
2015-04-13T07:24:45-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.6,92.39
2015-04-13T07:25:09-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.61,45.86
2015-04-13T07:25:33-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.52,25.56
2015-04-13T07:25:57-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.66,58.88
2015-04-13T15:26:26-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,9.73,15.07
2015-04-13T15:26:50-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.45,44.26
2015-04-13T15:27:16-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,9.76,28.29
2015-04-13T15:27:39-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.63,58.97
2015-04-13T15:28:05-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.64,62.58
2015-04-13T22:28:34-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.37,18.47
2015-04-13T22:28:58-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.62,60.02
2015-04-13T22:29:22-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.56,33.18
2015-04-13T22:29:48-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.46,55.01
2015-04-13T22:30:12-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.31,15.71
2015-04-14T04:30:40-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.29,17.07
2015-04-14T04:31:04-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.12,47.15
2015-04-14T04:31:27-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,7.08,58.36
2015-04-14T04:31:51-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.21,25.74
2015-04-14T04:32:15-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,9.03,46.57
2015-04-14T14:32:40-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.18,62.32
2015-04-14T14:33:04-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,9.37,41.23
2015-04-14T14:33:28-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,5.84,26.44
2015-04-14T14:33:52-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.65,87.68
